request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,General_Office:token,General_Office:id,General_Office,#_of_Records,Total_$
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=27422&c-r-ot=H,c-t-id,27422,"THORSON, WAYNE CLARK",c-t-eid,13736135,"THORSON, WAYNE CLARK",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8732,"ASSEMBLY DISTRICT 086",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",20,6525.08
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=74699&c-r-ot=H,c-t-id,74699,"SHANAHAN, SARAH ANN",c-t-eid,13736058,"SHANAHAN, SARAH ANN",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8696,"ASSEMBLY DISTRICT 050",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",88,6484.72
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=27345&c-r-ot=H,c-t-id,27345,"BRYCE, RANDY",c-t-eid,13736081,"BRYCE, RANDY",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8708,"ASSEMBLY DISTRICT 062",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",139,6359.50
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=27380&c-r-ot=H,c-t-id,27380,"RASHKIN, YURI",c-t-eid,13736039,"RASHKIN, YURI",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8690,"ASSEMBLY DISTRICT 044",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",168,6343.26
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=74691&c-r-ot=H,c-t-id,74691,"PRUESS, LARRY",c-t-eid,13735938,"PRUESS, LARRY",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8648,"ASSEMBLY DISTRICT 002",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",88,6288.23
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=27371&c-r-ot=H,c-t-id,27371,"LIEBERT, SAM",c-t-eid,13736037,"LIEBERT, SAM",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8690,"ASSEMBLY DISTRICT 044",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",141,6063.12
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=27368&c-r-ot=H,c-t-id,27368,"JOHNSRUD, ARNIE",c-t-eid,13735934,"JOHNSRUD, ARNIE",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8647,"ASSEMBLY DISTRICT 001",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",124,5981.70
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=27414&c-r-ot=H,c-t-id,27414,"ROMLEIN SR, JAMES WALTER",c-t-eid,3027043,"ROMLEIN SR, JAMES WALTER",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8683,"ASSEMBLY DISTRICT 037",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",61,5965.43
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=27392&c-r-ot=H,c-t-id,27392,"VERHAGE, DAVID JAMES",c-t-eid,13736106,"VERHAGE, DAVID JAMES",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8717,"ASSEMBLY DISTRICT 071",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",4,5752.27
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=27376&c-r-ot=H,c-t-id,27376,"MCGINLEY, JERI",c-t-eid,13736101,"MCGINLEY, JERI",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8717,"ASSEMBLY DISTRICT 071",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",79,5568.84
